1703596304.824459 client started (52318): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1703596304.824524 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:18 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6000
1703596304.824542 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1703596304.827057 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827061 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827064 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827068 sending message 112 to peer 0x110018000 (8 bytes)
1703596304.827072 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827075 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827079 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827082 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827086 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827089 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827093 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827096 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827100 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827103 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827107 sending message 112 to peer 0x110018000 (8 bytes)
1703596304.827111 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827114 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827118 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827121 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827125 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827128 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827139 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827143 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827147 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827151 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827154 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827158 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827161 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827165 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827169 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827172 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827176 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827179 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827183 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827186 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827190 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827194 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827197 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827201 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827205 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827208 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827212 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827215 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827219 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827222 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827226 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827229 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827233 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827237 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827240 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827244 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827248 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.827251 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827255 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827258 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827262 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827266 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827269 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.827273 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827276 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827280 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827283 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827287 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827290 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827294 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827297 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.827301 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.827305 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827309 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827312 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827316 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827320 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827323 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827327 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.827331 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827335 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827338 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827342 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827345 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827349 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827352 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.827362 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.827366 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827369 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827373 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.827377 sending message 112 to peer 0x110018000 (13 bytes)
